baseline_model,model,variable,baseline,new,absolute_change,percent_change,reporting_rule
T4_all_core,T5_macro,wsdi_days,-.002265688456837,-.0027175897,-.00045190117,-19.945425,percent
T4_all_core,T5_macro,readiness100,-.0102650770037549,-.011748945,-.0014838682,-14.4555,percent
T4_all_core,T5_macro,T_it,.3710688452792886,.36378002,-.0072888136,-1.9642754,percent
T4_all_core,T7_layer2_A,wsdi_days,-.002265688456837,-.0029231892,-.0006575007,-29.019907,percent
T4_all_core,T7_layer2_A,readiness100,-.0102650770037549,-.0081518842,.0021131928,20.586235,percent
T4_all_core,T7_layer2_A,T_it,.3710688452792886,.34245238,-.028616477,-7.711905,percent
T8_interact_core,T9_interact_macro,c_A_T,-.0121638421721589,-.013952509,-.0017886664,-14.704781,percent
T8_interact_core,T9_interact_macro,c_X_T,-.0014947307155777,-.0018428557,-.000348125,-23.29015,percent
T8_interact_core,T9_interact_macro,int_AX_T,.0313295645571869,.036199491,.0048699272,15.544191,percent
T8_interact_core,T9_interact_macro,T_it,.3707958208487551,.36325997,-.0075358469,-2.0323441,percent
T8_interact_core,T10_interact_full,c_A_T,-.0121638421721589,-.01494184,-.0027779969,-22.838154,percent
T8_interact_core,T10_interact_full,c_X_T,-.0014947307155777,-.00046614904,.0010285816,68.813843,percent
T8_interact_core,T10_interact_full,int_AX_T,.0313295645571869,.10949907,.07816951,249.50717,percent
T8_interact_core,T10_interact_full,T_it,.3707958208487551,.34012136,-.030674456,-8.2726002,percent
