variable_i,variable_j,correlation
wsdi_days,wsdi_days,1
wsdi_days,readiness100,-.1457149848778828
wsdi_days,b_pre,.1381479174769153
wsdi_days,spread_lag,.0926419364961812
wsdi_days,growth,-.022232891544805
wsdi_days,inflation_cpi,-.0182042591117297
wsdi_days,reserves,.0796297985712143
wsdi_days,tt,.0324514442638127
readiness100,wsdi_days,-.1457149848778828
readiness100,readiness100,1
readiness100,b_pre,.0773448481668457
readiness100,spread_lag,-.5854289363391092
readiness100,growth,-.2723847738739721
readiness100,inflation_cpi,-.4228991839954068
readiness100,reserves,-.1512369415735365
readiness100,tt,.0269642847987046
b_pre,wsdi_days,.1381479174769153
b_pre,readiness100,.0773448481668457
b_pre,b_pre,1
b_pre,spread_lag,-.0327538555305005
b_pre,growth,-.2176754379537673
b_pre,inflation_cpi,-.2218074240403048
b_pre,reserves,-.1864586636387588
b_pre,tt,-.0892236398710274
spread_lag,wsdi_days,.0926419364961812
spread_lag,readiness100,-.5854289363391092
spread_lag,b_pre,-.0327538555305005
spread_lag,spread_lag,1
spread_lag,growth,.0038815878804633
spread_lag,inflation_cpi,.5728352311879941
spread_lag,reserves,.0079572712264229
spread_lag,tt,.0235839266441191
growth,wsdi_days,-.022232891544805
growth,readiness100,-.2723847738739721
growth,b_pre,-.2176754379537673
growth,spread_lag,.0038815878804633
growth,growth,1
growth,inflation_cpi,.1520857356496296
growth,reserves,.1662969412626239
growth,tt,-.0200145371004127
inflation_cpi,wsdi_days,-.0182042591117297
inflation_cpi,readiness100,-.4228991839954068
inflation_cpi,b_pre,-.2218074240403048
inflation_cpi,spread_lag,.5728352311879941
inflation_cpi,growth,.1520857356496296
inflation_cpi,inflation_cpi,1
inflation_cpi,reserves,.0114058113035834
inflation_cpi,tt,.0084681963704567
reserves,wsdi_days,.0796297985712143
reserves,readiness100,-.1512369415735365
reserves,b_pre,-.1864586636387588
reserves,spread_lag,.0079572712264229
reserves,growth,.1662969412626239
reserves,inflation_cpi,.0114058113035834
reserves,reserves,1
reserves,tt,-.0724466368575792
tt,wsdi_days,.0324514442638127
tt,readiness100,.0269642847987046
tt,b_pre,-.0892236398710274
tt,spread_lag,.0235839266441191
tt,growth,-.0200145371004127
tt,inflation_cpi,.0084681963704567
tt,reserves,-.0724466368575792
tt,tt,1
