model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
A_b_only,b_pre,.002158029583999,.0036771565,.58687454,.55728793,-.0050490648,.0093651237,0
A_b_only,growth,-.1171851522345188,.014352479,-8.1648026,3.2196180e-16,-.1453155,-.089054808,0
A_b_only,inflation_cpi,.1122342578186578,.013934005,8.0547018,7.9672634e-16,.084924109,.13954441,0
A_b_only,reserves,-.0050188843238553,.0050243814,-.9989059,.31784028,-.014866491,.0048287227,0
A_b_only,tt,.0039800180330053,.0038852582,1.0243896,.30565128,-.0036349481,.011594984,0
A_b_only,spread_lag,.7047926196208277,.026182156,26.918814,0,.65347654,.7561087,0
A_X_only,wsdi_days,.0098228445650944,.0058829524,1.6697134,.094976082,-.0017075303,.021353219,0
A_X_only,b_pre,.0041748394766274,.0045585893,.91581827,.35976222,-.0047598314,.013109511,0
A_X_only,growth,-.1622409327097233,.01945688,-8.3384867,7.5247562e-17,-.20037572,-.12410615,0
A_X_only,inflation_cpi,.1468178493198499,.024778187,5.9252858,3.1175429e-09,.098253496,.19538221,0
A_X_only,reserves,-.0089433099060329,.0069324146,-1.2900715,.19702587,-.022530593,.004643973,0
A_X_only,tt,.0036737491906842,.004802194,.76501471,.44426277,-.005738378,.013085877,0
A_X_only,spread_lag,.6793357894566523,.036939599,18.39045,0,.6069355,.75173604,0
A_A_only,readiness100,-.0316465732591954,.013752957,-2.3010743,.021387439,-.058601871,-.0046912739,0
A_A_only,b_pre,.0032097545530514,.0034253376,.93706226,.34872654,-.0035037836,.0099232923,0
A_A_only,growth,-.116169782825356,.014524921,-7.9979634,1.2649391e-15,-.14463811,-.087701462,0
A_A_only,inflation_cpi,.1144734527596183,.011179003,10.240041,1.3118070e-24,.092563011,.13638389,0
A_A_only,reserves,-.0050073366565655,.0057856003,-.86548269,.38677391,-.016346905,.0063322312,0
A_A_only,tt,.0039970162929872,.0038289425,1.0438956,.2965337,-.0035075734,.011501606,0
A_A_only,spread_lag,.6877104904744523,.028773574,23.900766,0,.63131535,.74410564,0
Layer2_A,wsdi_days,.0091831810719614,.0057498873,1.5971063,.11024201,-.0020863907,.020452753,0
Layer2_A,readiness100,-.0269088480246735,.015154488,-1.7756355,.075793013,-.056611098,.0027934038,0
Layer2_A,b_pre,.0046290084428138,.0044392939,1.0427352,.29707092,-.004071848,.013329864,0
Layer2_A,growth,-.1597390195086374,.019497555,-8.1927719,2.5527699e-16,-.19795352,-.12152451,0
Layer2_A,inflation_cpi,.1499700306437403,.024391042,6.1485701,7.8184564e-10,.10216447,.19777559,0
Layer2_A,reserves,-.0081339369577813,.0068387715,-1.1893857,.23428793,-.021537682,.0052698087,0
Layer2_A,tt,.0038358406073979,.004686241,.81853247,.41305318,-.0053490233,.013020705,0
Layer2_A,spread_lag,.665850173261722,.037228167,17.885654,0,.5928843,.73881602,0
Interact_AB,c_A,-.0339624118385017,.015976191,-2.1258142,.033518739,-.06527517,-.0026496532,0
Interact_AB,c_X,.0092086307173834,.0057428172,1.6035041,.10882343,-.0020470845,.020464346,0
Interact_AB,c_b,.0069565885234464,.0044826167,1.5519035,.12068532,-.0018291787,.015742356,0
Interact_AB,int_AB,-.0599117847497077,.025020879,-2.3944716,.016644327,-.10895181,-.010871765,0
Interact_AB,growth,-.1570351849824105,.019824527,-7.921258,2.3511991e-15,-.19589055,-.11817983,0
Interact_AB,inflation_cpi,.1567184351631212,.02515934,6.2290359,4.6931414e-10,.10740703,.20602983,0
Interact_AB,reserves,-.0088835029724364,.0068331123,-1.3000668,.19357805,-.022276158,.004509151,0
Interact_AB,tt,.0025290923855069,.0046469909,.54424304,.58627427,-.0065788422,.011637027,0
Interact_AB,spread_lag,.639190922788713,.038019393,16.812235,0,.56467426,.71370757,0
Interact_AX,c_A,-.0258064702112272,.015291126,-1.6876763,.091473393,-.055776525,.0041635861,0
Interact_AX,c_X,.0088937006224021,.0057273475,1.5528481,.12045942,-.0023316939,.020119095,0
Interact_AX,c_b,.0047868760765851,.0043986319,1.0882647,.27647826,-.0038342844,.013408037,0
Interact_AX,int_AX,-.0165706642849183,.028276589,-.58602065,.55786169,-.071991757,.03885043,0
Interact_AX,growth,-.1596079792652428,.019516842,-8.1779613,2.8868640e-16,-.19786029,-.12135568,0
Interact_AX,inflation_cpi,.1501572964568308,.024410116,6.1514373,7.6783974e-10,.10231435,.19800025,0
Interact_AX,reserves,-.0079805535716999,.0068377913,-1.1671245,.2431601,-.021382378,.0054212706,0
Interact_AX,tt,.0038379991129803,.0046964618,.81721073,.41380799,-.0053668972,.013042895,0
Interact_AX,spread_lag,.6641982204609626,.037293613,17.809973,0,.59110409,.73729235,0
Interact_all,c_A,-.0335276056774914,.016381621,-2.0466599,.040691487,-.065634988,-.0014202197,0
Interact_all,c_X,.0091147156488417,.0057311645,1.5903776,.11174972,-.0021181605,.020347591,0
Interact_all,c_b,.0070081651204545,.0044616517,1.5707558,.11623938,-.0017365114,.015752841,0
Interact_all,int_AB,-.0590469303228237,.026088359,-2.263344,.023614489,-.11017917,-.0079146884,0
Interact_all,int_AX,-.0042470578896758,.029858265,-.14224061,.88688993,-.062768184,.054274067,0
Interact_all,growth,-.156999583503139,.019879729,-7.897471,2.8461906e-15,-.19596313,-.11803603,0
Interact_all,inflation_cpi,.1568070818801758,.025248125,6.2106423,5.2768440e-10,.10732166,.2062925,0
Interact_all,reserves,-.0088086766344598,.0068402672,-1.2877679,.19782677,-.022215355,.004598001,0
Interact_all,tt,.0025361948463874,.0046695885,.54313022,.58704013,-.0066160308,.011688421,0
Interact_all,spread_lag,.6384897149167315,.038198456,16.715065,0,.56362212,.71335733,0
