model,moderator,point,percentile_order,moderator_value,mA,se,ci_low,ci_high,inference
Interact_all,b_pre,P10,1,.26,.013645517,.014624913,-.015018787,.042309821,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P25,2,.3740800094604492,.02038159,.014664793,-.0083608767,.049124058,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P50,3,.5128249931335449,.028574057,.015503261,-.0018117774,.05895989,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P75,4,.7541400146484375,.042822968,.018621674,.0063251574,.079320781,LSDVC bootstrap VCE (50 reps)
Interact_all,b_pre,P90,5,1.049420013427734,.060258344,.024183022,.012860493,.1076562,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P10,1,.0543535807728767,.033032421,.017533019,-.0013316653,.067396507,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P25,2,.0951075577735901,.033205505,.017058786,-.00022910102,.066640109,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P50,3,.1522520610105271,.033448201,.016522331,.0010650269,.065831371,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P75,4,.2250918312072754,.033757556,.016076867,.0022474749,.065267637,LSDVC bootstrap VCE (50 reps)
Interact_all,wsdi_days,P90,5,.3256138774710642,.034184478,.015936159,.0029501813,.065418772,LSDVC bootstrap VCE (50 reps)
