equation,estimand,point,theta,cutoff,marginal_effect,se,t,p,ci_low,ci_high
debt,dB/dA,P10,-.0200237416216606,.059300281,.20050757,.044096619,4.5470052,.000035851448,.1118921,.28912306
debt,dB/dA,P25,-.0106932716533444,.059300281,.17692292,.038909767,4.5470052,.000035851448,.09873081,.255115
debt,dB/dA,P50,.002964351486271,.059300281,.1424005,.031317424,4.5470052,.000035851448,.079465777,.20533521
debt,dB/dA,Mean,.0125211260398605,.059300281,.11824381,.026004765,4.5470052,.000035851448,.065985277,.17050233
debt,dB/dA,Cutoff,.0593002794631694,.059300281,0,0,,,0,0
debt,dB/dA,P75,.0217056768105792,.059300281,.095027991,.020899028,4.5470052,.000035851448,.053029824,.13702616
debt,dB/dA,P90,.0523370699965715,.059300281,.017600926,.003870883,4.5470052,.000035851448,.0098220948,.025379756
ready_debt,dA/dFT,P10,-.0200237416216606,.059300281,-.10007934,.040564492,-2.4671662,.017161079,-.18159674,-.018561943
ready_debt,dA/dFT,P25,-.0106932716533444,.059300281,-.08830753,.035793103,-2.4671662,.017161079,-.16023646,-.016378598
ready_debt,dA/dFT,P50,.002964351486271,.059300281,-.071076356,.028808905,-2.4671662,.017161079,-.12897001,-.013182693
ready_debt,dA/dFT,Mean,.0125211260398605,.059300281,-.059019029,.02392179,-2.4671662,.017161079,-.10709167,-.010946393
ready_debt,dA/dFT,Cutoff,.0593002794631694,.059300281,0,0,,,0,0
ready_debt,dA/dFT,P75,.0217056768105792,.059300281,-.04743132,.01922502,-2.4671662,.017161079,-.086065441,-.0087971948
ready_debt,dA/dFT,P90,.0523370699965715,.059300281,-.00878515,.0035608262,-2.4671662,.017161079,-.015940897,-.0016294017
