model,equation,variable,coefficient,se,t,p,ci_low,ci_high,omitted
DN1_core,debt,debt_kink_low,2.685960942457553,.58556688,4.5869412,.00003137426,1.5092202,3.8627017,0
DN1_core,debt,debt_kink_high,-.7367607413471779,.13685872,-5.3833675,2.0525383e-06,-1.0117886,-.46173286,0
DN1_core,debt,wsdi_days,.178447620539811,.046736017,3.8182034,.0003784493,.084528081,.27236715,0
DN2_macro,debt,debt_kink_low,2.532717631473683,.58670884,4.3168221,.000076741358,1.353682,3.7117531,0
DN2_macro,debt,debt_kink_high,-.8545634386434879,.132929,-6.4287214,5.0924601e-08,-1.1216942,-.58743262,0
DN2_macro,debt,wsdi_days,.1692033500497876,.045540862,3.7154181,.00052040647,.077685557,.26072115,0
DN2_macro,debt,growth,-.5072784849380613,.088865839,-5.7083631,6.5646657e-07,-.68586105,-.32869589,0
DN2_macro,debt,inflation_cpi,-.1445137254958704,.15686938,-.92123604,.36144081,-.45975453,.17072709,0
DN3_full,debt,debt_kink_low,2.527703051968065,.55590498,4.5470052,.000035851448,1.4105701,3.6448359,0
DN3_full,debt,debt_kink_high,-.8314506570916661,.13985136,-5.9452453,2.8418421e-07,-1.1124924,-.55040884,0
DN3_full,debt,wsdi_days,.1705559601959579,.045615185,3.7390172,.00048387263,.078888819,.26222309,0
DN3_full,debt,growth,-.5102188147118699,.085125066,-5.9937549,2.3928479e-07,-.68128407,-.33915359,0
DN3_full,debt,inflation_cpi,-.1183150840181706,.15679042,-.75460654,.45409667,-.43339723,.19676708,0
DN3_full,debt,reserves,-.0491232189375709,.053407807,-.91977602,.36219582,-.15645023,.058203783,0
DN3_full,debt,tt,.0296899013118967,.036755092,.80777651,.42312345,-.044172224,.10355203,0
RDN1_core,ready_debt,ready_debt_kink_low,-1.286857580749448,.50720555,-2.5371521,.014409387,-2.3061252,-.26758987,0
RDN1_core,ready_debt,ready_debt_kink_high,.5171618568835843,.33952385,1.5231974,.13413766,-.16513689,1.1994606,0
RDN1_core,ready_debt,wsdi_days,.0015614931136501,.0073416848,.21268867,.83245218,-.013192175,.01631516,0
RDN2_macro,ready_debt,ready_debt_kink_low,-1.249879771725418,.51212841,-2.4405594,.018326206,-2.2790403,-.22071923,0
RDN2_macro,ready_debt,ready_debt_kink_high,.8061481251873575,.37174743,2.1685371,.035000753,.05909371,1.5532025,0
RDN2_macro,ready_debt,wsdi_days,.0019876447469745,.0076871454,.25856733,.79705215,-.013460252,.017435541,0
RDN2_macro,ready_debt,growth,.0714821537098276,.026554439,2.6919098,.0096937083,.018119011,.1248453,0
RDN2_macro,ready_debt,inflation_cpi,-.0566273655120106,.037472755,-1.511161,.13717018,-.13193169,.018676955,0
RDN3_full,ready_debt,ready_debt_kink_low,-1.26165235682433,.51137716,-2.4671662,.017161079,-2.2893033,-.23400153,0
RDN3_full,ready_debt,ready_debt_kink_high,.7805143313560368,.36567611,2.1344419,.037834872,.045660704,1.515368,0
RDN3_full,ready_debt,wsdi_days,.0019848583162074,.0077013364,.25772908,.79769534,-.013491556,.017461274,0
RDN3_full,ready_debt,growth,.0719267411851299,.026950693,2.6688271,.010292908,.017767295,.12608619,0
RDN3_full,ready_debt,inflation_cpi,-.0591586725975266,.036331072,-1.6283216,.10987034,-.1321687,.013851354,0
RDN3_full,ready_debt,reserves,.002395049513364,.007906639,.30291623,.76323599,-.013493937,.018284036,0
RDN3_full,ready_debt,tt,-.0044656667827819,.0073533873,-.60729384,.54646003,-.019242851,.010311518,0
