specification,equation,variable,role,N,mean,sd,min,p10,p25,p50,p75,p90,max
debt_no_b,debt,b_outcome,dependent_variable,742,.0092733959,.050721545,-.27356002,-.03563999,-.017290002,.0020900345,.027880002,.062089995,.41863
debt_no_b,debt,debt_kink_low,regressor,742,.028517287,.015852634,0,.0032972735,.017991697,.029140623,.039595552,.049250662,.067355111
debt_no_b,debt,debt_kink_high,regressor,742,.0025244199,.012936122,0,0,0,0,0,0,.1123784
debt_no_b,debt,wsdi_days,regressor,742,.17094861,.1051494,0,.05435358,.095107555,.15225206,.22509183,.32561389,.73336875
debt_no_b,debt,growth,regressor,742,.028061388,.031661518,-.14507,-.0022799999,.01385,.027595,.043790001,.064229995,.24624
debt_no_b,debt,inflation_cpi,regressor,742,.029805956,.029413611,-.01692,.0031999999,.012999999,.023,.038039997,.061129998,.23534
debt_no_b,debt,reserves,regressor,742,.14245744,.13440356,.0034262727,.029242363,.045295704,.10856245,.20020919,.29299575,1.1473159
debt_no_b,debt,tt,regressor,742,.99968714,.097592033,.67477971,.89835,.95999998,.99800003,1.033,1.0960048,1.574002
debt_no_b,debt,readiness100,construction_input,742,.5603953,.13143076,.26723579,.36821342,.46398628,.55566174,.67754006,.72784597,.7973066
debt_no_b,debt,theta_hat_A,construction_input,742,.012521126,.038123213,-.031083113,-.020023741,-.010693272,.0029643516,.021705678,.052337069,.22234873
debt_no_b,debt,b_pre,construction_input,742,.5967167,.34175462,.039009999,.25999999,.37408,.51282501,.75414002,1.04942,2.0364501
debt_no_b,debt,mA_hat,construction_input,742,.033527605,.020246085,.00018186959,.013448262,.020117573,.028736675,.042958215,.060215909,.11810246
debt_no_b,debt,TA_hat,construction_input,742,-.014393576,.011513761,-.033112291,-.027160624,-.022698103,-.016440831,-.0084649436,.0025421269,.047190908
debt_no_b,debt,b_pre_mA_hat,construction_input,742,.026914703,.035333455,7.0947326e-06,.0035288604,.0075764451,.014820236,.032281142,.063174486,.24045749
ready_no_lag_debt_cutoff,ready_debt,A_outcome,dependent_variable,742,.0030431175,.018796423,-.19999273,-.008690414,-.0023065186,.0028133392,.0085586552,.0173069,.080252379
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_low,regressor,742,.00265445,.0035158258,-.0045998576,0,.00057451491,.0018025676,.0034181019,.007002803,.02256299
ready_no_lag_debt_cutoff,ready_debt,ready_debt_kink_high,regressor,742,.00026058455,.001272882,0,0,0,0,0,0,.015578735
ready_no_lag_debt_cutoff,ready_debt,wsdi_days,regressor,742,.17094861,.1051494,0,.05435358,.095107555,.15225206,.22509183,.32561389,.73336875
ready_no_lag_debt_cutoff,ready_debt,growth,regressor,742,.028061388,.031661518,-.14507,-.0022799999,.01385,.027595,.043790001,.064229995,.24624
ready_no_lag_debt_cutoff,ready_debt,inflation_cpi,regressor,742,.029805956,.029413611,-.01692,.0031999999,.012999999,.023,.038039997,.061129998,.23534
ready_no_lag_debt_cutoff,ready_debt,reserves,regressor,742,.14245744,.13440356,.0034262727,.029242363,.045295704,.10856245,.20020919,.29299575,1.1473159
ready_no_lag_debt_cutoff,ready_debt,tt,regressor,742,.99968714,.097592033,.67477971,.89835,.95999998,.99800003,1.033,1.0960048,1.574002
ready_no_lag_debt_cutoff,ready_debt,interest_revenue,construction_input,742,.06220765,.068961851,-.062359404,.0035591593,.019532397,.047838718,.080715373,.1338872,.4362027
ready_no_lag_debt_cutoff,ready_debt,theta_hat_A,construction_input,742,.012521126,.038123213,-.031083113,-.020023741,-.010693272,.0029643516,.021705678,.052337069,.22234873
