model,variable,coefficient,se,t,p,ci_low,ci_high,omitted
Spread_Interact_all,c_A,-.0335276056774914,.016381621,-2.0466599,.040691487,-.065634988,-.0014202197,0
Spread_Interact_all,c_X,.0091147156488417,.0057311645,1.5903776,.11174972,-.0021181605,.020347591,0
Spread_Interact_all,c_b,.0070081651204545,.0044616517,1.5707558,.11623938,-.0017365114,.015752841,0
Spread_Interact_all,int_AB,-.0590469303228237,.026088359,-2.263344,.023614489,-.11017917,-.0079146884,0
Spread_Interact_all,int_AX,-.0042470578896758,.029858265,-.14224061,.88688993,-.062768184,.054274067,0
Spread_Interact_all,growth,-.156999583503139,.019879729,-7.897471,2.8461906e-15,-.19596313,-.11803603,0
Spread_Interact_all,inflation_cpi,.1568070818801758,.025248125,6.2106423,5.2768440e-10,.10732166,.2062925,0
Spread_Interact_all,reserves,-.0088086766344598,.0068402672,-1.2877679,.19782677,-.022215355,.004598001,0
Spread_Interact_all,tt,.0025361948463874,.0046695885,.54313022,.58704013,-.0066160308,.011688421,0
Spread_Interact_all,spread_lag,.6384897149167315,.038198456,16.715065,0,.56362212,.71335733,0
T3_persistence,inflation_cpi,-.0222006947350398,.012475099,-1.7796006,.07514134,-.046651442,.0022500507,0
T3_persistence,reserves,.0207611918797923,.0079329256,2.6170914,.0088682566,.0052129435,.03630944,0
T3_persistence,tt,-.0030098711593339,.0035028688,-.85925889,.39019769,-.0098753674,.0038556254,0
T3_persistence,T_it,.3263335087790649,.02249719,14.505523,0,.28223982,.37042719,0
T1_X_only,wsdi_days,-.0025189306485107,.0095288279,-.26434845,.79151142,-.021195089,.016157228,0
T1_X_only,inflation_cpi,-.0197272925170359,.014354987,-1.3742466,.16936514,-.047862552,.0084079662,0
T1_X_only,reserves,.0245206945305246,.0097706988,2.5096154,.012086274,.0053704772,.043670911,0
T1_X_only,tt,-.0077444201493012,.005094185,-1.5202471,.12844887,-.017728839,.0022399989,0
T1_X_only,T_it,.3427155794938764,.032486536,10.549465,5.1087091e-26,.27904314,.40638801,0
T2_A_only,readiness100,-.0103638444673243,.021281272,-.48699367,.62626284,-.052074369,.031346682,0
T2_A_only,inflation_cpi,-.018120464039537,.013448742,-1.3473724,.17786033,-.044479515,.0082385875,0
T2_A_only,reserves,.029214824840223,.010741961,2.7196918,.0065342784,.0081609674,.050268684,0
T2_A_only,tt,-.0031329578886314,.0035528443,-.8818168,.37787589,-.010096405,.0038304892,0
T2_A_only,T_it,.3300289629168435,.025050072,13.174771,0,.28093171,.37912619,0
T7_layer2_A,wsdi_days,-.0029231891563816,.0093954122,-.31112942,.75570226,-.021337859,.015491481,0
T7_layer2_A,readiness100,-.0081518842140998,.023946069,-.34042683,.73353511,-.055085316,.03878155,0
T7_layer2_A,inflation_cpi,-.0185075813194224,.01446562,-1.2794185,.20074973,-.046859674,.0098445127,0
T7_layer2_A,reserves,.0252922583343352,.0097974325,2.5815191,.0098366551,.006089644,.044494871,0
T7_layer2_A,tt,-.0080657641675634,.005256094,-1.5345547,.12489325,-.01836752,.0022359912,0
T7_layer2_A,T_it,.3424523683452062,.032613523,10.500318,8.6089857e-26,.27853104,.40637371,0
T10_interact_full,c_A_T,-.014941839222127,.023160398,-.64514601,.51883256,-.060335387,.030451708,0
T10_interact_full,c_X_T,-.0004661490405189,.0093616238,-.049793608,.96028686,-.018814595,.017882297,0
T10_interact_full,int_AX_T,.1094990743018585,.052186437,2.0982287,.035884954,.0072155399,.2117826,0
T10_interact_full,inflation_cpi,-.0186469429120658,.014440711,-1.291276,.19660801,-.046950217,.0096563306,0
T10_interact_full,reserves,.0251672379199765,.0097843241,2.5722001,.010105449,.0059903157,.044344161,0
T10_interact_full,tt,-.0085773344080865,.0052242209,-1.64184,.10062317,-.018816618,.00166195,0
T10_interact_full,T_it,.340121364957744,.032646541,10.418298,2.0458287e-25,.27613533,.40410742,0
