replicate,draw_slot,source_iso3,seed,country_count
1,1,BGD,20260830,63
1,2,ZMB,20260830,63
1,3,EGY,20260830,63
1,4,JPN,20260830,63
1,5,CHE,20260830,63
1,6,NOR,20260830,63
1,7,NZL,20260830,63
1,8,ZAF,20260830,63
1,9,UGA,20260830,63
1,10,BEL,20260830,63
1,11,LTU,20260830,63
1,12,SVN,20260830,63
1,13,MUS,20260830,63
1,14,UGA,20260830,63
1,15,SGP,20260830,63
1,16,ZAF,20260830,63
1,17,GBR,20260830,63
1,18,LTU,20260830,63
1,19,TWN,20260830,63
1,20,HKG,20260830,63
1,21,SGP,20260830,63
1,22,SVN,20260830,63
1,23,TWN,20260830,63
1,24,AUT,20260830,63
1,25,DNK,20260830,63
1,26,KEN,20260830,63
1,27,VNM,20260830,63
1,28,NAM,20260830,63
1,29,MAR,20260830,63
1,30,NOR,20260830,63
1,31,LKA,20260830,63
1,32,HKG,20260830,63
1,33,SGP,20260830,63
1,34,KOR,20260830,63
1,35,LKA,20260830,63
1,36,NZL,20260830,63
1,37,ZAF,20260830,63
1,38,THA,20260830,63
1,39,MUS,20260830,63
1,40,CZE,20260830,63
1,41,SWE,20260830,63
1,42,LTU,20260830,63
1,43,GRC,20260830,63
1,44,CIV,20260830,63
1,45,NOR,20260830,63
1,46,ROU,20260830,63
1,47,COL,20260830,63
1,48,CIV,20260830,63
1,49,NOR,20260830,63
1,50,SRB,20260830,63
1,51,USA,20260830,63
1,52,NGA,20260830,63
1,53,VNM,20260830,63
1,54,TWN,20260830,63
1,55,USA,20260830,63
1,56,GBR,20260830,63
1,57,ESP,20260830,63
1,58,NLD,20260830,63
1,59,HKG,20260830,63
1,60,CHN,20260830,63
1,61,SWE,20260830,63
1,62,EGY,20260830,63
1,63,GRC,20260830,63
2,1,THA,20260830,63
2,2,HUN,20260830,63
2,3,BRA,20260830,63
2,4,PRT,20260830,63
2,5,SWE,20260830,63
2,6,BGD,20260830,63
2,7,MEX,20260830,63
2,8,CZE,20260830,63
2,9,THA,20260830,63
2,10,ESP,20260830,63
2,11,PRT,20260830,63
2,12,IND,20260830,63
2,13,COL,20260830,63
2,14,SVN,20260830,63
2,15,THA,20260830,63
2,16,TUR,20260830,63
2,17,NOR,20260830,63
2,18,FIN,20260830,63
2,19,KEN,20260830,63
2,20,CHN,20260830,63
2,21,ITA,20260830,63
2,22,IRL,20260830,63
